Time_s,Sensor_1_x_0.05000m_micrometers,Sensor_2_x_0.25000m_micrometers,Sensor_3_x_0.45000m_micrometers,Sensor_4_x_0.65000m_micrometers,Sensor_5_x_0.85000m_micrometers,Sensor_6_x_1.05000m_micrometers,Sensor_7_x_1.25000m_micrometers,Sensor_8_x_1.45000m_micrometers,Sensor_9_x_1.65000m_micrometers,Sensor_10_x_1.85000m_micrometers,Sensor_11_x_2.05000m_micrometers,Sensor_12_x_2.25000m_micrometers,Sensor_13_x_2.45000m_micrometers,Sensor_14_x_2.65000m_micrometers,Sensor_15_x_2.85000m_micrometers,Sensor_16_x_3.05000m_micrometers
-0.029999999999972715,1948.3359999999998,1818.8679999999997,2011.7679999999996,2186.032,2179.8399999999997,2034.7839999999997,2017.1839999999997,2172.032,1937.012,2165.576,2275.428,2058.18,2083.3119999999994,2193.8679999999995,1960.532,1923.4559999999997
-0.029799999999966076,1948.352,1818.8919999999994,2011.6999999999996,2186.064,2179.9359999999997,2034.8199999999997,2017.188,2172.052,1936.988,2165.548,2275.424,2057.984,2083.3239999999996,2193.968,1960.5919999999994,1923.516
-0.029599999999959437,1948.396,1818.8919999999994,2011.7559999999999,2186.056,2179.9639999999995,2034.7599999999995,2017.2,2171.988,1937.0079999999998,2165.468,2275.328,2057.9,2083.2999999999997,2193.9359999999997,1960.5080000000003,1923.516
-0.02939999999998122,1948.3799999999997,1818.8679999999997,2011.7359999999996,2185.9839999999995,2179.864,2034.7239999999997,2017.2559999999999,2172.04,1937.0040000000001,2165.4919999999993,2275.3319999999994,2058.0280000000007,2083.2999999999997,2193.828,1960.5279999999998,1923.4839999999997
-0.02919999999997458,1948.3519999999996,1818.884,2011.7679999999996,2186.028,2179.8639999999996,2034.7999999999997,2017.2319999999995,2172.0080000000003,1936.9799999999996,2165.536,2275.3239999999996,2058.2679999999996,2083.264,2194.064,1960.536,1923.4919999999997
-0.028999999999996362,1948.4239999999998,1818.8559999999998,2011.7359999999996,2186.02,2179.904,2034.748,2017.244,2172.0199999999995,1937.0479999999995,2165.4719999999993,2275.3559999999998,2058.096,2083.2519999999995,2193.8999999999996,1960.5279999999998,1923.4559999999997
-0.02879999999993288,1948.4279999999994,1818.9119999999998,2011.7600000000002,2186.0359999999996,2179.852,2034.8079999999998,2017.2279999999998,2172.028,1936.984,2165.4759999999997,2275.468,2057.848,2083.212,2193.96,1960.4759999999999,1923.4479999999999
-0.02859999999995466,1948.3839999999996,1818.908,2011.7679999999996,2186.04,2179.884,2034.7239999999997,2017.1919999999998,2172.056,1937.0199999999998,2165.4639999999995,2275.408,2057.9199999999996,2083.232,2193.932,1960.5,1923.4519999999998
-0.028400000000004866,1948.3919999999998,1818.9399999999998,2011.7919999999995,2186.004,2179.9399999999996,2034.8719999999998,2017.2599999999995,2172.048,1936.9839999999997,2165.5240000000003,2275.352,2058.156,2083.228,2193.9719999999998,1960.4879999999998,1923.4639999999995
-0.028199999999969805,1948.384,1818.9199999999996,2011.7319999999995,2186.0199999999995,2179.9039999999995,2034.7519999999997,2017.2799999999995,2172.024,1936.9759999999994,2165.548,2275.2039999999997,2058.184,2083.2679999999996,2194.0399999999995,1960.48,1923.3799999999999
-0.027999999999963165,1948.4519999999998,1818.9399999999994,2011.7319999999995,2186.1,2179.872,2034.7559999999999,2017.2119999999995,2172.0600000000004,1936.9479999999996,2165.4559999999997,2275.3759999999997,2058.036,2083.2519999999995,2193.916,1960.4759999999999,1923.524
-0.027799999999956526,1948.4319999999996,1818.9319999999996,2011.732,2186.084,2179.8959999999997,2034.7879999999998,2017.2359999999996,2172.032,1937.0520000000001,2165.4799999999996,2275.488,2058.032,2083.267999999999,2193.956,1960.512,1923.4599999999998
-0.02759999999997831,1948.4399999999998,1818.9639999999995,2011.736,2186.0119999999997,2179.9479999999994,2034.7839999999997,2017.2279999999998,2171.9919999999997,1937.0239999999994,2165.6119999999996,2275.3959999999997,2058.0919999999996,2083.256,2193.9039999999995,1960.5279999999998,1923.452
-0.02739999999997167,1948.44,1818.8639999999996,2011.8239999999994,2186.004,2179.8599999999997,2034.7679999999996,2017.1839999999997,2172.044,1936.9799999999996,2165.5,2275.4359999999992,2058.072,2083.272,2193.864,1960.4879999999998,1923.4239999999995
-0.02719999999999345,1948.4039999999998,1818.9239999999995,2011.7079999999999,2185.96,2179.8559999999998,2034.8159999999996,2017.1760000000002,2171.9800000000005,1937.0599999999995,2165.372,2275.3839999999996,2057.9799999999996,2083.272,2194.0119999999997,1960.5439999999999,1923.4559999999997
-0.026999999999986812,1948.3879999999997,1818.9439999999995,2011.7959999999996,2186.084,2179.908,2034.78,2017.292,2171.9439999999995,1936.9839999999997,2165.604,2275.307999999999,2057.98,2083.256,2193.8559999999998,1960.4559999999997,1923.4439999999995
-0.02679999999995175,1948.4559999999997,1818.8639999999996,2011.7239999999995,2186.0199999999995,2179.919999999999,2034.8119999999994,2017.164,2172.0160000000005,1936.9639999999995,2165.5719999999997,2275.3239999999996,2058.192,2083.252,2194.0559999999996,1960.536,1923.4279999999994
-0.026600000000001955,1948.4319999999996,1818.9519999999998,2011.8079999999998,2185.9839999999995,2179.8679999999995,2034.8079999999998,2017.1919999999998,2172.112,1937.06,2165.3999999999996,2275.44,2058.18,2083.2839999999997,2193.836,1960.532,1923.4879999999998
