Time_s,Sensor_1_x_0.05000m_micrometers,Sensor_2_x_0.25000m_micrometers,Sensor_3_x_0.45000m_micrometers,Sensor_4_x_0.65000m_micrometers,Sensor_5_x_0.85000m_micrometers,Sensor_6_x_1.05000m_micrometers,Sensor_7_x_1.25000m_micrometers,Sensor_8_x_1.45000m_micrometers,Sensor_9_x_1.65000m_micrometers,Sensor_10_x_1.85000m_micrometers,Sensor_11_x_2.05000m_micrometers,Sensor_12_x_2.25000m_micrometers,Sensor_13_x_2.45000m_micrometers,Sensor_14_x_2.65000m_micrometers,Sensor_15_x_2.85000m_micrometers,Sensor_16_x_3.05000m_micrometers
-0.030000000000001137,1805.7239999999995,1637.4559999999997,1770.3560000000002,1888.536,1978.3079999999998,1746.2199999999998,1723.4759999999999,1835.9599999999996,1598.3999999999999,1741.024,1891.512,1602.384,1712.9759999999994,1830.1119999999999,1605.9639999999995,1604.5759999999996
-0.029799999999994498,1805.7639999999997,1637.472,1770.396,1888.5079999999998,1978.2159999999997,1746.2519999999997,1723.4399999999998,1835.9039999999998,1598.4519999999998,1740.9639999999995,1891.4479999999996,1602.5159999999998,1713.0039999999995,1830.0719999999997,1605.9879999999998,1604.548
-0.02960000000001628,1805.7519999999997,1637.4679999999998,1770.464,1888.4759999999999,1978.2959999999996,1746.2199999999998,1723.468,1835.9359999999997,1598.4559999999997,1740.964,1891.484,1602.4959999999996,1713.0279999999998,1830.1079999999997,1606.0439999999996,1604.5359999999998
-0.029400000000038062,1805.792,1637.4759999999997,1770.4399999999998,1888.548,1978.3039999999994,1746.2279999999998,1723.5080000000003,1835.9839999999997,1598.408,1741.0279999999998,1891.4919999999997,1602.5319999999997,1712.9519999999998,1830.0839999999996,1606.08,1604.5919999999996
-0.029200000000003,1805.7719999999997,1637.488,1770.4279999999999,1888.5199999999998,1978.3079999999998,1746.2479999999996,1723.4519999999998,1835.9559999999997,1598.4479999999999,1740.9999999999995,1891.4080000000001,1602.512,1712.9359999999992,1830.132,1606.072,1604.584
-0.028999999999996362,1805.7599999999998,1637.4360000000001,1770.4759999999999,1888.5080000000003,1978.2399999999993,1746.2119999999995,1723.4759999999999,1835.991999999999,1598.4559999999997,1740.9559999999997,1891.5199999999998,1602.4639999999997,1712.9399999999998,1830.0199999999998,1606.096,1604.6
-0.028799999999989723,1805.7839999999997,1637.472,1770.4599999999998,1888.4799999999996,1978.3039999999996,1746.2559999999999,1723.476,1835.9,1598.3999999999999,1740.9919999999997,1891.5919999999999,1602.4759999999999,1712.9799999999996,1830.116,1606.084,1604.5639999999999
-0.028600000000011505,1805.7479999999996,1637.4679999999996,1770.3959999999995,1888.512,1978.244,1746.2519999999997,1723.512,1835.9599999999998,1598.5079999999998,1740.9999999999995,1891.56,1602.4479999999999,1713.0159999999996,1830.128,1605.9839999999995,1604.5639999999999
-0.028400000000033288,1805.792,1637.468,1770.464,1888.5519999999997,1978.364,1746.2799999999995,1723.5159999999996,1835.908,1598.5199999999998,1740.9599999999996,1891.5159999999996,1602.4399999999996,1712.9479999999999,1830.0759999999998,1606.0439999999994,1604.5279999999998
-0.028199999999998226,1805.792,1637.4999999999995,1770.4360000000001,1888.5359999999996,1978.2679999999993,1746.216,1723.484,1836.0039999999997,1598.4319999999998,1740.9559999999997,1891.4959999999999,1602.4359999999997,1713.032,1830.092,1605.9599999999998,1604.556
-0.027999999999991587,1805.764,1637.4559999999997,1770.4279999999999,1888.5039999999997,1978.2839999999997,1746.304,1723.5040000000001,1835.9239999999995,1598.4359999999997,1741.0199999999998,1891.444,1602.596,1712.9559999999997,1830.08,1606.024,1604.5319999999997
-0.02780000000001337,1805.7839999999997,1637.4879999999996,1770.4719999999998,1888.5399999999997,1978.304,1746.2039999999997,1723.4399999999998,1835.9839999999997,1598.4799999999996,1741.0279999999996,1891.4159999999997,1602.5039999999997,1713.08,1830.1680000000001,1605.9879999999998,1604.5679999999998
-0.027600000000035152,1805.7639999999997,1637.4719999999998,1770.4239999999998,1888.512,1978.3079999999998,1746.292,1723.4879999999998,1835.9759999999994,1598.4519999999998,1740.9239999999998,1891.4720000000002,1602.5520000000001,1713.0119999999995,1830.1239999999998,1606.024,1604.5359999999996
-0.02740000000000009,1805.8199999999997,1637.4759999999999,1770.4679999999996,1888.4759999999999,1978.3359999999998,1746.2079999999999,1723.4799999999996,1835.9159999999997,1598.4239999999998,1741.0279999999998,1891.5839999999996,1602.4039999999998,1712.9559999999997,1830.1199999999997,1606.0239999999997,1604.552
-0.02719999999999345,1805.7079999999999,1637.508,1770.404,1888.5359999999996,1978.284,1746.264,1723.4839999999997,1835.9279999999994,1598.4559999999997,1740.9679999999996,1891.5399999999997,1602.4879999999996,1712.9759999999999,1830.1839999999997,1606.1,1604.5879999999997
-0.026999999999986812,1805.7599999999995,1637.472,1770.4359999999997,1888.516,1978.268,1746.244,1723.4919999999997,1835.9519999999998,1598.3919999999998,1740.9319999999996,1891.5479999999995,1602.3799999999999,1713.0359999999994,1830.0400000000002,1606.0879999999997,1604.5719999999997
-0.026800000000008595,1805.7879999999998,1637.516,1770.484,1888.5639999999999,1978.2959999999998,1746.2319999999995,1723.5319999999997,1835.9359999999997,1598.464,1740.9519999999998,1891.532,1602.5399999999997,1713.0559999999998,1830.1439999999998,1606.0639999999996,1604.5279999999998
