0.5014,0.28707,0.90581
0.5015,0.28758,0.90023
0.5016,0.28809,0.89473
0.5018,0.28909,0.88396
0.5019,0.28959,0.87869
0.502,0.29008,0.8735
0.5021,0.29058,0.86838
0.5022,0.29107,0.86333
0.5023,0.29156,0.85835
0.5025,0.29254,0.8486
0.5026,0.29303,0.84382
0.5027,0.29351,0.83911
0.5028,0.29399,0.83446
0.5029,0.29447,0.82988
0.503,0.29495,0.82535
0.5031,0.29543,0.82089
0.5032,0.2959,0.81649
0.5033,0.29638,0.81214
0.5034,0.29685,0.80785
0.5035,0.29732,0.80362
0.5036,0.29779,0.79944
0.5038,0.29872,0.79124
0.5039,0.29918,0.78722
0.504,0.29964,0.78325
0.504,0.29964,0.78325
0.505,0.30417,0.74615
0.507,0.31277,0.68392
0.508,0.31686,0.65761
0.509,0.32082,0.63389
0.51,0.32466,0.61241
0.512,0.33201,0.57505
0.513,0.33552,0.55871
0.514,0.33894,0.5437
0.515,0.34226,0.52985
0.517,0.34865,0.50517
0.518,0.35172,0.49413
0.519,0.35471,0.48384
0.521,0.36047,0.46523
0.522,0.36325,0.4568
0.523,0.36596,0.44887
0.524,0.36861,0.4414
0.526,0.37373,0.42771
0.527,0.37621,0.42142
0.528,0.37863,0.41546
0.53,0.38332,0.40443
0.531,0.38559,0.39932
0.532,0.38781,0.39445
0.533,0.38999,0.38981
0.535,0.39422,0.38115
0.536,0.39627,0.3771
0.537,0.39828,0.37322
0.539,0.40218,0.36593
0.54,0.40408,0.3625
0.541,0.40594,0.35921
0.542,0.40777,0.35604
0.544,0.41132,0.35005
0.545,0.41305,0.34722
0.546,0.41475,0.34448
0.547,0.41641,0.34184
0.549,0.41966,0.33683
0.55,0.42124,0.33444
0.551,0.4228,0.33214
0.553,0.42582,0.32773
0.554,0.4273,0.32563
0.555,0.42875,0.32359
0.556,0.43018,0.32161
0.558,0.43296,0.31781
0.559,0.43431,0.31599
0.56,0.43565,0.31422
0.562,0.43825,0.31082
0.563,0.43952,0.30918
0.564,0.44077,0.30759
0.565,0.442,0.30604
0.567,0.4444,0.30304
0.568,0.44557,0.3016
0.569,0.44672,0.30019
0.57,0.44786,0.29881
0.572,0.45007,0.29614
0.573,0.45115,0.29485
0.574,0.45222,0.29359
0.576,0.45429,0.29115
0.577,0.45531,0.28996
0.578,0.45631,0.2888
0.579,0.45729,0.28766
0.581,0.45921,0.28545
0.582,0.46014,0.28438
0.583,0.46107,0.28332
0.585,0.46287,0.28127
0.586,0.46375,0.28027
0.587,0.46461,0.27929
0.588,0.46546,0.27832
0.59,0.46712,0.27644
0.591,0.46793,0.27552
0.592,0.46873,0.27462
0.593,0.46952,0.27373
0.595,0.47105,0.27199
0.596,0.4718,0.27114
0.597,0.47253,0.2703
0.599,0.47397,0.26866
0.6,0.47467,0.26786
0.601,0.47536,0.26706
0.602,0.47603,0.26628
0.604,0.47735,0.26475
0.605,0.47799,0.264
0.606,0.47862,0.26326
0.608,0.47986,0.2618
0.609,0.48045,0.26108
0.61,0.48104,0.26038
0.611,0.48162,0.25968
0.613,0.48275,0.2583
0.614,0.48329,0.25762
0.615,0.48383,0.25695
0.617,0.48487,0.25564
0.618,0.48538,0.25499
0.619,0.48588,0.25434
0.62,0.48637,0.25371
0.622,0.48731,0.25245
0.623,0.48777,0.25183
0.624,0.48822,0.25122
0.625,0.48866,0.25061
0.627,0.48952,0.24941
0.628,0.48993,0.24881
0.629,0.49034,0.24822
0.631,0.49112,0.24706
0.632,0.49149,0.24648
0.633,0.49186,0.24591
0.634,0.49222,0.24535
0.636,0.49292,0.24422
0.637,0.49325,0.24367
0.638,0.49358,0.24312
0.64,0.4942,0.24202
0.641,0.4945,0.24148
0.642,0.49479,0.24094
0.643,0.49508,0.24041
0.645,0.49562,0.23935
0.646,0.49588,0.23882
0.647,0.49613,0.2383
0.648,0.49637,0.23778
0.65,0.49683,0.23674
0.651,0.49705,0.23623
0.652,0.49726,0.23572
0.654,0.49766,0.2347
0.655,0.49784,0.23419
0.656,0.49802,0.23369
0.657,0.49819,0.23319
0.659,0.49851,0.23219
0.66,0.49866,0.2317
0.661,0.4988,0.23121
0.663,0.49905,0.23022
0.664,0.49917,0.22973
0.665,0.49928,0.22925
0.666,0.49938,0.22876
0.668,0.49956,0.22779
0.669,0.49964,0.22731
0.67,0.49971,0.22683
0.671,0.49977,0.22635
0.673,0.49987,0.22539
0.674,0.49991,0.22491
0.675,0.49994,0.22444
0.677,0.49999,0.22349
0.678,0.5,0.22301
0.679,0.5,0.22254
0.68,0.49999,0.22207
0.682,0.49996,0.22112
0.683,0.49993,0.22065
0.684,0.4999,0.22018
0.686,0.49981,0.21924
0.687,0.49975,0.21877
0.688,0.49968,0.2183
0.689,0.49961,0.21783
0.691,0.49944,0.2169
0.692,0.49935,0.21643
0.693,0.49924,0.21596
0.695,0.49902,0.21502
0.696,0.49889,0.21456
0.697,0.49876,0.21409
0.698,0.49862,0.21362
0.7,0.49831,0.21268
0.701,0.49815,0.21221
0.702,0.49798,0.21175
0.703,0.4978,0.21128
0.705,0.49742,0.21034
0.706,0.49722,0.20987
0.707,0.49701,0.2094
0.709,0.49657,0.20845
0.71,0.49634,0.20798
0.711,0.4961,0.20751
0.712,0.49585,0.20704
0.714,0.49533,0.20609
0.715,0.49506,0.20561
0.716,0.49478,0.20514
0.718,0.4942,0.20419
0.719,0.4939,0.20371
0.72,0.49359,0.20323
0.721,0.49327,0.20275
0.723,0.49261,0.20179
0.724,0.49227,0.20131
0.725,0.49192,0.20083
0.726,0.49156,0.20034
0.728,0.49082,0.19937
0.729,0.49044,0.19888
0.73,0.49005,0.1984
0.732,0.48925,0.19742
0.733,0.48883,0.19693
0.734,0.48841,0.19644
0.735,0.48798,0.19594
0.737,0.48709,0.19495
0.738,0.48664,0.19445
0.739,0.48617,0.19396
0.741,0.48522,0.19295
0.742,0.48473,0.19245
0.743,0.48423,0.19195
0.744,0.48372,0.19144
0.746,0.48268,0.19043
0.747,0.48215,0.18992
0.748,0.48161,0.18941
0.749,0.48106,0.1889
0.751,0.47993,0.18787
0.752,0.47936,0.18735
0.753,0.47877,0.18683
0.755,0.47757,0.18579
0.756,0.47696,0.18526
0.757,0.47634,0.18474
0.758,0.47571,0.18421
0.76,0.47442,0.18315
0.761,0.47376,0.18262
0.762,0.4731,0.18208
0.764,0.47174,0.18101
0.765,0.47104,0.18047
0.766,0.47034,0.17992
0.767,0.46962,0.17938
0.769,0.46817,0.17828
0.77,0.46743,0.17773
0.771,0.46668,0.17718
0.773,0.46514,0.17607
0.774,0.46436,0.17551
0.775,0.46357,0.17495
0.776,0.46277,0.17439
0.778,0.46114,0.17326
0.779,0.46032,0.17269
0.78,0.45948,0.17212
0.781,0.45863,0.17155
0.783,0.4569,0.17039
0.784,0.45602,0.16981
0.785,0.45513,0.16923
0.787,0.45332,0.16806
0.788,0.4524,0.16747
0.789,0.45146,0.16688
0.79,0.45052,0.16628
0.792,0.44861,0.16509
0.793,0.44764,0.16448
0.794,0.44665,0.16388
0.796,0.44465,0.16266
0.797,0.44364,0.16205
0.798,0.44261,0.16144
0.799,0.44158,0.16082
0.801,0.43947,0.15958
0.802,0.4384,0.15896
0.803,0.43732,0.15833
0.804,0.43623,0.1577
0.806,0.43401,0.15643
0.807,0.43289,0.15579
0.808,0.43175,0.15515
0.81,0.42945,0.15386
0.811,0.42828,0.15322
0.812,0.4271,0.15256
0.813,0.42591,0.15191
0.815,0.42349,0.15059
0.816,0.42227,0.14993
0.817,0.42103,0.14927
0.819,0.41852,0.14793
0.82,0.41725,0.14726
0.821,0.41597,0.14658
0.822,0.41467,0.1459
0.824,0.41205,0.14453
0.825,0.41072,0.14385
0.826,0.40938,0.14316
0.827,0.40803,0.14246
0.829,0.40529,0.14107
0.83,0.4039,0.14036
0.831,0.4025,0.13966
0.833,0.39967,0.13824
0.834,0.39824,0.13753
0.835,0.39679,0.13681
0.836,0.39534,0.13609
0.838,0.39239,0.13464
0.839,0.39089,0.13392
0.84,0.38939,0.13319
0.842,0.38635,0.13172
0.843,0.38481,0.13098
0.844,0.38326,0.13023
0.845,0.3817,0.12949
0.847,0.37854,0.12799
0.848,0.37694,0.12723
0.849,0.37533,0.12648
0.851,0.37208,0.12496
0.852,0.37044,0.12419
0.853,0.36879,0.12342
0.854,0.36712,0.12265
0.856,0.36376,0.1211
0.857,0.36206,0.12032
0.858,0.36035,0.11954
0.859,0.35863,0.11876
0.861,0.35515,0.11718
0.862,0.35339,0.11639
0.863,0.35163,0.11559
0.865,0.34806,0.114
0.866,0.34627,0.11319
0.867,0.34446,0.11239
0.868,0.34264,0.11158
0.87,0.33897,0.10996
0.871,0.33712,0.10914
0.872,0.33525,0.10832
0.874,0.3315,0.10668
0.875,0.32961,0.10586
0.876,0.32771,0.10503
0.877,0.3258,0.1042
0.879,0.32195,0.10253
0.88,0.32,0.1017
0.881,0.31805,0.10086
0.882,0.3161,0.10002
0.884,0.31215,0.098335
0.885,0.31016,0.097489
0.886,0.30817,0.096641
0.888,0.30415,0.094939
0.889,0.30213,0.094086
0.89,0.3001,0.093231
0.891,0.29806,0.092374
0.893,0.29396,0.090655
0.894,0.2919,0.089793
0.895,0.28983,0.08893
0.897,0.28566,0.087199
0.898,0.28357,0.086331
0.899,0.28147,0.085462
0.9,0.27936,0.084592
0.902,0.27512,0.082848
0.903,0.273,0.081974
0.904,0.27086,0.0811
0.905,0.26872,0.080224
0.907,0.26442,0.078469
0.908,0.26226,0.077591
0.909,0.26009,0.076711
0.911,0.25574,0.07495
0.912,0.25356,0.074068
0.913,0.25137,0.073186
0.914,0.24918,0.072304
0.916,0.24477,0.070537
0.917,0.24256,0.069653
0.918,0.24035,0.068768
0.92,0.23591,0.066999
0.921,0.23368,0.066114
0.922,0.23145,0.065229
0.923,0.22921,0.064344
0.925,0.22472,0.062574
0.926,0.22248,0.061689
0.927,0.22022,0.060804
0.929,0.21571,0.059035
0.93,0.21344,0.058151
0.931,0.21117,0.057268
0.932,0.2089,0.056385
0.934,0.20435,0.05462
0.935,0.20206,0.053738
0.936,0.19978,0.052858
0.937,0.19749,0.051977
0.939,0.1929,0.050219
0.94,0.1906,0.049342
0.941,0.1883,0.048465
0.943,0.18368,0.046714
0.944,0.18137,0.04584
0.945,0.17905,0.044967
0.946,0.17673,0.044096
0.948,0.17207,0.042356
0.949,0.16974,0.041488
0.95,0.1674,0.040622
0.952,0.16271,0.038893
0.953,0.16036,0.03803
0.954,0.158,0.037169
0.955,0.15564,0.03631
0.957,0.1509,0.034596
0.958,0.14852,0.033742
0.959,0.14613,0.032889
0.96,0.14373,0.032038
0.962,0.13892,0.030342
0.963,0.1365,0.029496
0.964,0.13407,0.028653
0.966,0.12919,0.026972
0.967,0.12673,0.026134
0.968,0.12426,0.025299
0.969,0.12177,0.024466
0.971,0.11675,0.022805
0.972,0.11422,0.021979
0.973,0.11167,0.021154
0.975,0.10651,0.019512
0.976,0.1039,0.018695
0.977,0.10126,0.01788
0.978,0.09859,0.017068
0.98,0.093163,0.01545
0.981,0.090396,0.014646
0.982,0.087589,0.013844
0.983,0.084736,0.013045
0.985,0.078876,0.011455
0.986,0.075855,0.010665
0.987,0.072762,0.0098774
0.989,0.066321,0.0083122
0.99,0.062944,0.0075347
0.991,0.059439,0.0067606
0.992,0.055782,0.0059902
0.994,0.047863,0.0044611
0.995,0.043491,0.0037029
